Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
127,Boston College,12,6-Jun,787,3459,4.4,26,288.3
128,Rutgers,12,10-Feb,821,3398,4.14,19,283.2
Reclassifying,,,,,,,,
NR,Coastal Caro.,12,2-Oct,798,4652,5.83,46,387.7
,,,,,,,,
,,,,,,,,
"      <script type=""text/javascript"">",,,,,,,,
"var gaJsHost = ((""https:"" == document.location.protocol) ? ""https://ssl."" : ""http://www."");document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E""));",,,,,,,,
</script>,,,,,,,,
"<script type=""text/javascript"">",,,,,,,,
try {,,,,,,,,
"var pageTracker = _gat._getTracker(""UA-2045383-4"");                        ",,,,,,,,
pageTracker._trackPageview();                                              ,,,,,,,,
} catch(err) {},,,,,,,,
</script>,,,,,,,,
,,,,,,,,
      ,,,,,,,,
