Rank,Name,W,L,T,Pct
1,Alabama,13,0,0,1
,Western Mich.,13,0,0,1
3,Washington,12,1,0,0.923
,Clemson,12,1,0,0.923
5,Ohio St.,11,1,0,0.917
6,Penn St.,11,2,0,0.846
7,South Fla.,10,2,0,0.833
,West Virginia,10,2,0,0.833
,Michigan,10,2,0,0.833
,Oklahoma,10,2,0,0.833
,Boise St.,10,2,0,0.833
12,Colorado,10,3,0,0.769
,Temple,10,3,0,0.769
,Wisconsin,10,3,0,0.769
,Western Ky.,10,3,0,0.769
,San Diego St.,10,3,0,0.769
17,Oklahoma St.,9,3,0,0.75
,Old Dominion,9,3,0,0.75
,Southern California,9,3,0,0.75
,Stanford,9,3,0,0.75
,Toledo,9,3,0,0.75
,Troy,9,3,0,0.75
,Tulsa,9,3,0,0.75
,Air Force,9,3,0,0.75
,Appalachian St.,9,3,0,0.75
,Nebraska,9,3,0,0.75
,Florida St.,9,3,0,0.75
,Houston,9,3,0,0.75
,Louisville,9,3,0,0.75
30,Navy,9,4,0,0.692
,Virginia Tech,9,4,0,0.692
32,Pittsburgh,8,4,0,0.667
,Miami (FL),8,4,0,0.667
,Memphis,8,4,0,0.667
,Tennessee,8,4,0,0.667
,Texas A&M,8,4,0,0.667
,Washington St.,8,4,0,0.667
,Utah,8,4,0,0.667
,North Carolina,8,4,0,0.667
,Minnesota,8,4,0,0.667
,Middle Tenn.,8,4,0,0.667
,New Mexico,8,4,0,0.667
,Georgia Tech,8,4,0,0.667
,Florida,8,4,0,0.667
,Auburn,8,4,0,0.667
,BYU,8,4,0,0.667
,Kansas St.,8,4,0,0.667
,Iowa,8,4,0,0.667
,Idaho,8,4,0,0.667
50,LSU,7,4,0,0.636
51,Louisiana Tech,8,5,0,0.615
,Ohio,8,5,0,0.615
,Wyoming,8,5,0,0.615
54,Arkansas St.,7,5,0,0.583
,Army West Point,7,5,0,0.583
,Arkansas,7,5,0,0.583
,Eastern Mich.,7,5,0,0.583
,Kentucky,7,5,0,0.583
,Georgia,7,5,0,0.583
,Colorado St.,7,5,0,0.583
61,UCF,6,6,0,0.5
,Central Mich.,6,6,0,0.5
,Boston College,6,6,0,0.5
,Baylor,6,6,0,0.5
,UTSA,6,6,0,0.5
,TCU,6,6,0,0.5
,Louisiana,6,6,0,0.5
,Southern Miss.,6,6,0,0.5
,South Alabama,6,6,0,0.5
,South Carolina,6,6,0,0.5
,Northwestern,6,6,0,0.5
,NC State,6,6,0,0.5
,Miami (OH),6,6,0,0.5
,Maryland,6,6,0,0.5
,Wake Forest,6,6,0,0.5
,Vanderbilt,6,6,0,0.5
,Indiana,6,6,0,0.5
78,Hawaii,6,7,0,0.462
79,Texas,5,7,0,0.417
,Texas Tech,5,7,0,0.417
,SMU,5,7,0,0.417
,Northern Ill.,5,7,0,0.417
,North Texas,5,7,0,0.417
,Nevada,5,7,0,0.417
,Ole Miss,5,7,0,0.417
,Mississippi St.,5,7,0,0.417
,Ga. Southern,5,7,0,0.417
,California,5,7,0,0.417
,Arizona St.,5,7,0,0.417
,Akron,5,7,0,0.417
91,Tulane,4,8,0,0.333
,Ball St.,4,8,0,0.333
,Bowling Green,4,8,0,0.333
,Cincinnati,4,8,0,0.333
,FIU,4,8,0,0.333
,Duke,4,8,0,0.333
,Missouri,4,8,0,0.333
,UNLV,4,8,0,0.333
,Charlotte,4,8,0,0.333
,La.-Monroe,4,8,0,0.333
,Notre Dame,4,8,0,0.333
,Oregon St.,4,8,0,0.333
,Oregon,4,8,0,0.333
,San Jose St.,4,8,0,0.333
,Syracuse,4,8,0,0.333
,UTEP,4,8,0,0.333
,UCLA,4,8,0,0.333
108,Michigan St.,3,9,0,0.25
,Arizona,3,9,0,0.25
,East Carolina,3,9,0,0.25
,Fla. Atlantic,3,9,0,0.25
,UConn,3,9,0,0.25
,Rice,3,9,0,0.25
,Purdue,3,9,0,0.25
,Utah St.,3,9,0,0.25
,Marshall,3,9,0,0.25
,New Mexico St.,3,9,0,0.25
,Georgia St.,3,9,0,0.25
,Illinois,3,9,0,0.25
,Iowa St.,3,9,0,0.25
,Kent St.,3,9,0,0.25
122,Rutgers,2,10,0,0.167
,Kansas,2,10,0,0.167
,Texas St.,2,10,0,0.167
,Massachusetts,2,10,0,0.167
,Virginia,2,10,0,0.167
,Buffalo,2,10,0,0.167
128,Fresno St.,1,11,0,0.083
Reclassifying,,,,,
NR,Coastal Caro.,10,2,0,0.833
,,,,,
,,,,,
"      <script type=""text/javascript"">",,,,,
"var gaJsHost = ((""https:"" == document.location.protocol) ? ""https://ssl."" : ""http://www."");document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E""));",,,,,
</script>,,,,,
"<script type=""text/javascript"">",,,,,
try {,,,,,
"var pageTracker = _gat._getTracker(""UA-2045383-4"");                        ",,,,,
pageTracker._trackPageview();                                              ,,,,,
} catch(err) {},,,,,
</script>,,,,,
,,,,,
      ,,,,,
