PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top.Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
11,2019-03-23,13:05:20,2,5,"Rocker, Kumar",8898890,Right,VAN_COM,"McConnell, Brady",8898807,Right,FLA_GAT,Windup,1,Top,1,1,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,93.3310711927,-1.64860667047,-2.24505178405,2287.98710073,209.321806944,01:00:00,5.47463782855,2.24546811289,7.2208010234,-14.0070520958,16.8438118346,9.47703016535,2.81355237072,1.00202205173,83.932837334,-4.36772524427,-0.401821200201,0.399765382145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.13456958998,10.1238842444,-2.11977190879,50,5.37595740564,5.08930157425,-135.882382304,-4.26534757683,-11.2547534436,34.9778030836,-13.6003215182,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,3505e249-4d96-11e9-9ebb-74e5f9ab4644,94.2862443938,NA,NA,9.39823385866,-2.75384517412,2.48551901734,-0.979190921865,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
12,2019-03-23,13:05:49,3,1,"Rocker, Kumar",8898890,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Windup,1,Top,2,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,94.6121174778,-2.34940274669,-3.48689246386,2323.90511249,198.157750118,12:30:00,5.54507878245,2.12337938327,7.14535560669,-10.6345475641,19.7463959447,6.48552187781,2.5240127821,-0.50089717305399994,84.4869343997,-4.41653104436,-2.22551508972,0.396709085553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.91193942817,12.0400998178,-1.92100212143,50,5.4038589803,8.20974106036,-137.475323269,-5.92467832447,-9.16273529356,37.6550202358,-9.71443781583,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,46eb3375-4d96-11e9-9ebb-74e5f9ab4644,95.012637456,NA,NA,10.1251830781,-2.31667908267,2.2296195177,0.642429404321,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
13,2019-03-23,13:06:04,3,2,"Rocker, Kumar",8898890,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Windup,1,Top,2,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.0618057518,-1.42824475952,-3.89629989117,2303.96247417,193.457465235,12:30:00,5.57955393238,2.07775822576,7.46326170713,-14.6415363418,16.2186181924,3.88795699666,3.06941452605,-1.11399976883,83.5947932391,-4.28187575042,-3.13853719901,0.399825571419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.54793242598,9.7883928486,-1.87194554904,50,5.499844299,9.12753789389,-135.346560283,-3.72388131772,-6.44730936315,35.1472632238,-14.3865629773,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,4fdddbf5-4d96-11e9-9ebb-74e5f9ab4644,94.2720506527,NA,NA,9.46701251262,-1.94089159505,2.81115956905,1.29638043453,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
14,2019-03-23,13:06:18,3,3,"Rocker, Kumar",8898890,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Windup,1,Top,2,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.5767068118,-2.70900719465,-4.57520806874,2309.98344711,199.201982575,12:45:00,5.49930430959,2.2520182657,7.34211712091,-12.5179933326,18.9177452925,6.59888376381,2.00010604689,-1.33854158177,83.1370107942,-5.14056357152,-3.29337010234,0.403536992483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.3128575904,11.7206083337,-2.00116974733,50,5.34589101519,10.5956264758,-134.385243272,-6.6791080615,-9.52058593604,34.5742147174,-11.1708394614,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,58d2e6c3-4d96-11e9-9ebb-74e5f9ab4644,93.4050092636,NA,NA,9.43969601766,-2.59754732878,1.63047977255,1.56536648967,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
15,2019-03-23,13:06:39,3,4,"Rocker, Kumar",8898890,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Windup,1,Top,2,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,80.7779519698,-1.20183929673,-1.99859493492,2345.83174742,52.934316031,07:45:00,5.70369809015,1.90529104321,6.60556807188,-48.8008043448,-6.50798319952,-8.5631732733,0.535356409711,-0.63958220695,73.545885325,-10.4685255297,-3.64484826791,0.468063575922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08075081802,-3.20948594377,-1.76583827982,50,5.60170509717,4.31517913628,-117.492999699,-3.69234046803,5.5810487261,26.7462170554,-36.56350977,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,67c23a46-4d96-11e9-9ebb-74e5f9ab4644,80.5283266207,NA,NA,7.23206664484,-1.3936399774,3.12056584145e-4,0.821184826632,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
24,2019-03-23,13:13:43,1,1,"Rocker, Kumar",8898890,Right,VAN_COM,"Calilao, Kendrick",1000052346,Right,FLA_GAT,Windup,2,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.138005065,2.22553032262,-0.962045695922,2162.03766922,31.9249505624,07:00:00,5.80963916963,2.05059954823,6.43400607058,-52.5856688105,-8.89004326069,-5.51334011795,3.47386666118,0.707043699527,72.5418393238,-7.73856343773,-2.01161730902,0.475762819135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75564242969,-5.54244021016,-1.97980926329,50,5.94371353906,2.07699177402,-115.181013283,3.11462569015,3.68530207835,22.2892708212,-39.5863188153,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,64bf8edd-4d97-11e9-9ebb-74e5f9ab4644,79.2251411946,NA,NA,6.59616574117,-2.68078989351,2.88422168903,-0.559718580646,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
25,2019-03-23,13:13:54,1,2,"Rocker, Kumar",8898890,Right,VAN_COM,"Calilao, Kendrick",1000052346,Right,FLA_GAT,Windup,2,Top,0,1,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,NA,93.3936059968,-1.75546270043,-2.21878110371,2145.44109106,205.691633518,12:45:00,5.63955066617,2.39758078504,7.1718131485,-16.014818744,14.5442764247,7.01089482098,2.71279412703,0.970540758971,84.9512618358,-4.84158599752,-0.864312514364,0.397870522118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.63130768521,8.75665007815,-2.27082850442,50,5.53245325036,5.09044722672,-136.033227609,-4.5836515756,-8.61557309793,31.8542569826,-15.8841442855,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,6b35ca35-4d97-11e9-9ebb-74e5f9ab4644,94.7352830274,NA,NA,8.44234416098,0.52338631774,2.63663969419,-0.957275526485,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
26,2019-03-23,13:14:17,1,3,"Rocker, Kumar",8898890,Right,VAN_COM,"Calilao, Kendrick",1000052346,Right,FLA_GAT,Windup,2,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.2726581001,-0.324139993592,-3.11981466855,2422.84159478,59.53083551,08:00:00,5.66509327454,2.05544834695,6.44879646314,-44.7853662874,-3.06022490842,-5.13494737454,1.63476431622,-1.24130537545,74.2935332214,-8.79668519774,-4.09788540828,0.464911647539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85910062219,-1.58737850853,-1.83232719435,50,5.62199104058,6.57599159529,-118.167934225,-1.84919117337,2.59788183851,24.9821591336,-34.3922296215,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,7725972d-4d97-11e9-9ebb-74e5f9ab4644,81.0742787811,NA,NA,6.97912487866,-0.489267634647,1.33301700893,1.3785474185,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
27,2019-03-23,13:14:31,1,4,"Rocker, Kumar",8898890,Right,VAN_COM,"Calilao, Kendrick",1000052346,Right,FLA_GAT,Windup,2,Top,0,2,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.0985401352,-1.84473211267,-3.6383161007,2241.91231756,193.693475332,12:30:00,5.78772402767,2.11058378243,7.42392029191,-8.91519625174,22.1727143166,5.40957206524,3.377595587,-0.723438854485,82.9257961675,-3.5902169564,-2.57992153831,0.401298267982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.41658109397,13.3900256576,-1.91642420896,50,5.68608211866,8.47988741071,-135.355485512,-4.57733798577,-7.96518130192,37.2190174256,-8.02550928347,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,80183fc3-4d97-11e9-9ebb-74e5f9ab4644,93.9260882202,NA,NA,10.1727439677,-2.03053489422,3.15686323102,0.876201652051,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
28,2019-03-23,13:14:47,1,5,"Rocker, Kumar",8898890,Right,VAN_COM,"Calilao, Kendrick",1000052346,Right,FLA_GAT,Windup,2,Top,0,3,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,NA,93.602329018,-2.48978184543,-2.65327807866,2281.43810186,195.435237029,12:30:00,5.55955515985,2.17102912915,7.36637800746,-10.1398685983,20.5571831186,5.68396489156,2.46338210564,0.24804764533,83.7236280175,-4.46751552373,-1.54255357103,0.398767587873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.18052435752,12.6346512666,-2.02737969348,50,5.42035459937,6.17342485289,-136.165090264,-6.1709482369,-7.65758293465,36.6869871405,-9.03080583126,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190323-Vanderbilt-1,890ae86a-4d97-11e9-9ebb-74e5f9ab4644,94.5221669649,NA,NA,9.87870100048,1.55160418249,2.47392153513,-0.251685450459,NA,NA,NA,2dadc7f1-4d8f-11e9-9ebb-74e5f9ab4644
