Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
94,Virginia,12,10-Feb,846,5359,6.33,45,51,446.6
95,Texas,12,7-May,955,5379,5.63,45,47,448.3
96,Rutgers,12,10-Feb,851,5408,6.35,54,60,450.7
97,Northern Ill.,12,7-May,936,5418,5.79,49,49,451.5
98,Pittsburgh,12,4-Aug,899,5424,6.03,52,55,452
99,Massachusetts,12,10-Feb,886,5432,6.13,50,53,452.7
100,East Carolina,12,9-Mar,844,5433,6.44,51,56,452.8
101,Iowa St.,12,9-Mar,911,5435,5.97,48,48,452.9
102,SMU,12,7-May,906,5436,6,52,56,453
103,Charlotte,12,8-Apr,902,5439,6.03,53,54,453.3
104,Hawaii,13,7-Jun,939,5920,6.3,55,62,455.4
105,Marshall,12,9-Mar,857,5472,6.39,49,55,456
,Nevada,12,7-May,825,5472,6.63,44,44,456
107,Kansas,12,10-Feb,906,5474,6.04,53,58,456.2
108,Oklahoma St.,12,3-Sep,912,5484,6.01,43,45,457
109,Tennessee,12,4-Aug,930,5522,5.94,43,45,460.2
110,Ole Miss,12,7-May,896,5535,6.18,46,50,461.3
,Mississippi St.,12,7-May,891,5535,6.21,48,51,461.3
112,Wyoming,13,5-Aug,912,6032,6.61,54,58,464
113,Bowling Green,12,8-Apr,882,5571,6.32,60,63,464.3
114,Akron,12,7-May,924,5592,6.05,49,50,466
115,Arizona,12,9-Mar,923,5632,6.1,61,62,469.3
116,Ball St.,12,8-Apr,885,5643,6.38,42,46,470.3
117,Texas St.,12,10-Feb,913,5653,6.19,61,63,471.1
118,Missouri,12,8-Apr,949,5756,6.07,45,49,479.7
119,La.-Monroe,12,8-Apr,867,5764,6.65,53,60,480.3
120,South Fla.,12,2-Oct,1000,5785,5.79,45,45,482.1
121,New Mexico St.,12,9-Mar,909,5960,6.56,54,60,496.7
122,Syracuse,12,8-Apr,870,6013,6.91,55,61,501.1
123,Rice,12,9-Mar,815,6054,7.43,55,58,504.5
124,Fla. Atlantic,12,9-Mar,892,6166,6.91,61,63,513.8
125,California,12,7-May,927,6220,6.71,62,67,518.3
126,Oregon,12,8-Apr,971,6221,6.41,67,68,518.4
127,Arizona St.,12,7-May,884,6246,7.07,58,61,520.5
128,Texas Tech,12,7-May,943,6652,7.05,65,68,554.3
Reclassifying,,,,,,,,,
NR,Coastal Caro.,12,2-Oct,788,3981,5.05,31,31,331.8
,,,,,,,,,
,,,,,,,,,
"      <script type=""text/javascript"">",,,,,,,,,
