Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
125,UTEP,12,11-Jan,751,3692,4.92,27,307.7
126,Akron,12,8-Apr,764,3533,4.62,21,294.4
127,Rutgers,12,11-Jan,772,3195,4.14,17,266.3
128,Central Mich.,12,11-Jan,809,3056,3.78,18,254.7
129,UTSA,12,9-Mar,758,2965,3.91,16,247.1
Reclassifying,,,,,,,,
NR,Liberty,12,6-Jun,935,5075,5.43,51,422.9
,,,,,,,,
,,,,,,,,
"      <script type=""text/javascript"">",,,,,,,,
"var gaJsHost = ((""https:"" == document.location.protocol) ? ""https://ssl."" : ""http://www."");document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E""));",,,,,,,,
</script>,,,,,,,,
"<script type=""text/javascript"">",,,,,,,,
try {,,,,,,,,
"var pageTracker = _gat._getTracker(""UA-2045383-4"");                        ",,,,,,,,
pageTracker._trackPageview();                                              ,,,,,,,,
} catch(err) {},,,,,,,,
</script>,,,,,,,,
,,,,,,,,
      ,,,,,,,,
