Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
111,Florida,11,7-Apr,712,3695,5.19,25,335.9
112,South Alabama,12,8-Apr,786,4012,5.1,25,334.3
113,Oregon St.,12,11-Jan,773,4005,5.18,29,333.8
114,Old Dominion,12,7-May,811,3988,4.92,26,332.3
,Ga. Southern,12,10-Feb,839,3988,4.75,27,332.3
116,Rice,12,11-Jan,732,3982,5.44,26,331.8
117,Akron,13,6-Jul,848,4278,5.04,38,329.1
118,Kansas,12,11-Jan,851,3948,4.64,25,329
119,BYU,13,9-Apr,822,4227,5.14,25,325.2
120,Maryland,12,8-Apr,754,3880,5.15,34,323.3
121,San Jose St.,13,11-Feb,898,4135,4.6,21,318.1
122,Minnesota,12,7-May,758,3702,4.88,29,308.5
123,Charlotte,12,11-Jan,740,3638,4.92,23,303.2
124,Tennessee,12,8-Apr,732,3493,4.77,25,291.1
125,Wyoming,12,5-Jul,733,3443,4.7,28,286.9
126,Illinois,12,10-Feb,725,3365,4.64,19,280.4
127,Kent St.,12,10-Feb,754,3302,4.38,18,275.2
128,Rutgers,12,8-Apr,711,3152,4.43,26,262.7
129,UTEP,12,0-12,676,2766,4.09,16,230.5
Reclassifying,,,,,,,,
NR,Liberty,11,5-Jun,836,4941,5.91,44,449.2
NR,Coastal Caro.,12,9-Mar,750,4144,5.53,33,345.3
,,,,,,,,
,,,,,,,,
"      <script type=""text/javascript"">",,,,,,,,
"var gaJsHost = ((""https:"" == document.location.protocol) ? ""https://ssl."" : ""http://www."");document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E""));",,,,,,,,
</script>,,,,,,,,
"<script type=""text/javascript"">",,,,,,,,
try {,,,,,,,,
"var pageTracker = _gat._getTracker(""UA-2045383-4"");                        ",,,,,,,,
pageTracker._trackPageview();                                              ,,,,,,,,
} catch(err) {},,,,,,,,
</script>,,,,,,,,
,,,,,,,,
      ,,,,,,,,
