PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top.Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
11,2019-03-21,18:06:06,3,2,"Fellows, Drake",8889833,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Stretch,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,82.8964374372,-1.7903503842,-2.90262915534,1801.51312863,175.592222821,11:45:00,5.67402575562,1.64870650196,6.40089619238,-35.3856160097,5.02395098225,-0.390186612499,1.07637785651,-1.05501022829,75.1949926744,-8.49903310749,-2.97719638739,0.457523722178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.739762091454,3.36068959372,-1.44068736044,50,5.52954020516,6.11752684123,-120.444459371,-4.72484721171,-1.06780068428,27.1866458413,-27.3231016246,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,e811e289-4c2d-11e9-9ebb-74e5f9ab4644,82.3834365171,NA,NA,7.70144476288,-1.95691073256,0.556397605193,1.23063289438,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
12,2019-03-21,18:06:33,3,3,"Fellows, Drake",8889833,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Stretch,1,Top,1,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.6688384733,-3.2056302757,-3.40995705318,2330.98318801,213.607689734,01:00:00,5.37771649573,1.8420168514,6.79883712233,-14.332275105,17.3213727346,11.5314230035,1.24985499401,-0.312421447901,84.1821613872,-5.94482756135,-1.19890239161,0.404933214916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.46391391374,10.636865271,-1.625884248,50,5.16458413178,7.69908234647,-134.602727504,-7.95140012199,-13.5875956403,31.3263378938,-12.8102903656,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,f300411c-4c2d-11e9-9ebb-74e5f9ab4644,93.0829458604,NA,NA,8.48667708611,-1.53470585354,0.937786402261,0.370427818496,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
13,2019-03-21,18:06:58,3,4,"Fellows, Drake",8889833,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Stretch,1,Top,1,2,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,NA,93.7462415874,-1.55178775479,-3.58345903507,2239.40182773,218.843083943,01:15:00,5.31169062497,1.77145185907,7.07958153018,-16.0393893934,14.1868691108,11.4469954516,2.56351078293,-0.531358715542,85.9894749089,-4.62386271211,-1.38967230127,0.395697871791,77.3649186665,15.1317259227,166.697926111,3261.58266937,NA,NA,NA,NA,NA,NA,NA,-7.40385076164,8.40024046107,-1.56105624189,50,5.21351258926,8.24043314689,-136.448433545,-4.13052850353,-14.005455208,29.0749123036,-16.2837780335,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,04e59264-4c2e-11e9-9ebb-74e5f9ab4644,95.2554441359,NA,NA,7.7567666785,0.325375727693,2.47452010862,0.557329992469,0.133266475853,2.45870821512,0.561797664835,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
14,2019-03-21,18:07:29,3,5,"Fellows, Drake",8889833,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Stretch,1,Top,1,2,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,NA,91.679091284,-1.144571086,-3.54786777091,2300.93733445,226.348243239,01:30:00,5.35225029574,1.57763632257,7.16763909064,-20.6863663324,11.5003288204,12.0864330204,2.58916095004,-0.633998733821,82.2414990059,-5.15972516961,-1.19883385899,0.408328517298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.07527018724,6.92077092761,-1.37477529325,50,5.27912628318,7.96495919069,-133.319525942,-3.1839318398,-14.2184568098,34.4633875062,-19.9883655708,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,16cae3ac-4c2e-11e9-9ebb-74e5f9ab4644,92.3089495942,NA,NA,9.43759227811,1.42862892081,2.59024124465,0.63374833695,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
15,2019-03-21,18:08:09,4,1,"Fellows, Drake",8889833,Right,VAN_COM,"Calilao, Kendrick",1000052346,Right,FLA_GAT,Stretch,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,1,0,NA,82.8211517254,-2.58664692999,-3.95104749219,2187.7067434,132.405675749,10:30:00,5.51263760441,1.63957572214,6.50796381708,-38.1615117066,1.8188446622,-2.03265149141,-0.0483026895079,-2.16110395546,76.3160122576,-9.75086893393,-4.33677624604,0.455087439243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0295215362645,1.7591929388,-1.36295672754,50,5.31505358968,8.35990547331,-120.254648694,-6.46167167915,-0.0430338913702,24.3064159308,-29.6096522747,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,318b0785-4c2e-11e9-9ebb-74e5f9ab4644,82.8244712353,NA,NA,6.50513946787,2.18845896097,0.0838776898997,2.10261863449,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
31,2019-03-21,18:20:52,1,1,"Fellows, Drake",8889833,Right,VAN_COM,"Calilao, Kendrick",1000052346,Right,FLA_GAT,Windup,2,Top,0,0,0,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,NA,91.9659058251,-0.726295386049,-2.60436573486,2250.48456953,225.777834488,01:30:00,5.37676294138,1.75315647022,6.86037887698,-18.7021285159,13.1748225857,13.5682815803,3.1555412159,0.50842855112,83.6200430808,-4.31262485146,0.001048605093,0.406359022051,85.8183794208,37.7595980026,0.569417242101,3126.03737954,109.767941861,77.5167869735,7.14039696044,286.181078582,130.527072437,13.0033169102,5.06168640137,-8.36197613179,7.58550421524,-1.5926318528,50,5.32364602071,5.71967445283,-133.903807959,-2.21073783217,-15.0869632965,30.6076774637,-18.4880224453,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,f9dddb09-4c2f-11e9-9ebb-74e5f9ab4644,92.7563422387,92.0607108756,1.7727985094,8.3458627443,-0.0105581411789,3.04649104767,-0.509485112839,0.920389145718,3.11794454404,-0.508561987212,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
32,2019-03-21,18:21:24,2,1,"Fellows, Drake",8889833,Right,VAN_COM,"Dalton, Wil",8885470,Right,FLA_GAT,Windup,2,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.2284749774,-2.81325016201,-3.06768303147,2185.5725563,219.194507274,01:15:00,5.3344504834,1.54646970086,6.84674130579,-14.9238654126,16.0957722203,13.1486043415,1.52020647739,-0.157297221177,85.1349994466,-5.66211390431,-0.549642541993,0.40085737522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.2181317513,9.79309762467,-1.35560539099,50,5.14908430764,6.8986554857,-135.561902228,-7.08697240464,-15.2589620815,30.2473176212,-13.9907789476,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,0ba691d8-4c30-11e9-9ebb-74e5f9ab4644,94.0293951196,NA,NA,8.09347553082,-1.91323952674,1.18390454862,0.183831237122,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
33,2019-03-21,18:21:38,2,2,"Fellows, Drake",8889833,Right,VAN_COM,"Dalton, Wil",8885470,Right,FLA_GAT,Windup,2,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.825445278,-3.23946775201,-3.3396373322,1945.3362731,189.309309292,12:15:00,5.6319355432,1.479593416,6.47274858031,-36.6780816459,2.22032369664,0.369957580917,-0.407380394576,-1.55960277075,77.5988902377,-10.1008550909,-3.26951684396,0.44888740203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12755993191,2.1203096921,-1.24475426324,50,5.38711706657,7.09477926602,-121.75509351,-7.90327029454,-1.69355471452,23.7782695579,-28.9894191867,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,139ef2b3-4c30-11e9-9ebb-74e5f9ab4644,83.9684436468,NA,NA,6.22655504035,3.09486977231,-0.11166138763,1.46369638602,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
34,2019-03-21,18:21:52,2,3,"Fellows, Drake",8889833,Right,VAN_COM,"Dalton, Wil",8885470,Right,FLA_GAT,Windup,2,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.5940190073,-1.34942390851,-1.60061766786,2095.27037896,84.3929532648,08:45:00,5.63498745349,1.5105568518,6.13215303666,-39.9294242636,-0.226476250279,-1.92662625635,1.05971745515,-0.129627090764,77.6277069714,-8.75240459227,-1.96099557062,0.453505852381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689295755564,0.175768413336,-1.38748258417,50,5.51087523982,3.4200659341,-120.371301561,-4.00741019544,1.031699775,18.9518981764,-31.9109681138,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,1be85ec1-4c30-11e9-9ebb-74e5f9ab4644,83.113318876,NA,NA,4.96631203584,1.31071818158,1.04338085464,0.133255428002,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
35,2019-03-21,18:22:09,2,4,"Fellows, Drake",8889833,Right,VAN_COM,"Dalton, Wil",8885470,Right,FLA_GAT,Windup,2,Top,1,2,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.0928115737,-0.35989210745,-2.18708524067,2237.87552946,218.942408811,01:15:00,5.33200146267,1.66257522845,7.19644225399,-17.3234840181,13.8376253261,11.2061536593,3.56221865125,0.614840681653,84.2588069017,-3.69379198364,-0.0283834699888,0.401770433378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.94364990368,7.92529530283,-1.53989522193,50,5.3058490999,4.84337698555,-134.257060459,-1.28289430014,-12.6773975665,28.9855871157,-17.7044078373,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,2672a0a6-4c30-11e9-9ebb-74e5f9ab4644,93.8157051634,NA,NA,7.83400467193,-1.99564308826,3.33438288313,-0.618029557427,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
