Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
124,New Mexico St.,12,9-Mar,923,6267,6.79,65,71,522.3
125,Tulsa,12,6-Jun,978,6378,6.52,58,59,531.5
126,Texas Tech,12,5-Jul,969,6482,6.69,66,69,540.2
127,Kansas,12,0-12,967,6730,6.96,66,72,560.8
Reclassifying,,,,,,,,,
NR,Charlotte,12,10-Feb,907,5028,5.54,48,55,419
,,,,,,,,,
,,,,,,,,,
"      <script type=""text/javascript"">",,,,,,,,,
"var gaJsHost = ((""https:"" == document.location.protocol) ? ""https://ssl."" : ""http://www."");document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E""));",,,,,,,,,
</script>,,,,,,,,,
"<script type=""text/javascript"">",,,,,,,,,
try {,,,,,,,,,
"var pageTracker = _gat._getTracker(""UA-2045383-4"");                        ",,,,,,,,,
pageTracker._trackPageview();                                              ,,,,,,,,,
} catch(err) {},,,,,,,,,
</script>,,,,,,,,,
,,,,,,,,,
      ,,,,,,,,,
