TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
Fastball,StrikeCalled,Undefined,91.2901842342,2179.21063484,147.909485279,19.7107159693,-12.3802547233,2.86142602574,0.455322958527
Fastball,InPlay,Out,91.8427053329,2266.72608017,141.791739622,20.472811309,-16.1402637034,1.85701797645,-0.0396889004531
Fastball,BallCalled,Undefined,91.1866610874,2186.30382594,148.561047347,20.8690777526,-12.7775314598,3.34263960786,-0.716892601927
Fastball,StrikeSwinging,Undefined,91.1809019692,2230.98221511,143.730230092,21.2386899864,-15.6078948865,2.9411565443,-0.173354480972
Fastball,StrikeSwinging,Undefined,91.8332452812,2212.48836542,149.8355268,21.16716304,-12.3204021797,3.01534976614,-0.0553108007048
Fastball,BallCalled,Undefined,91.7799802267,2193.42045765,149.109605493,20.2708777183,-12.1462767051,4.16842201579,0.108284803913
Fastball,FoulBall,Undefined,90.5864213671,2171.70160203,144.136856163,18.6178926616,-13.4822464152,1.7947292736,-0.289381366884
Curveball,StrikeSwinging,Undefined,74.2139690134,2620.06375139,321.718094845,-15.3424992054,12.0684111775,1.37545563652,0.0263742722848
Fastball,StrikeSwinging,Undefined,91.1724459436,2211.89773031,155.996999579,20.1340352732,-8.98002569375,3.21161451286,-0.214785147165
Fastball,StrikeSwinging,Undefined,91.8690594884,2345.11034934,151.986033168,24.0140578781,-12.7930896087,3.10736627298,0.0282317457793
Fastball,StrikeCalled,Undefined,90.7269950249,2230.23759156,130.847829306,15.8628755197,-18.384410006,1.70170248092,1.29784471142
Curveball,BallCalled,Undefined,70.78356507,2408.42285272,318.758452118,-13.9449465029,12.1760532252,2.67381817625,-1.57390993041
Fastball,StrikeSwinging,Undefined,89.5985813505,2172.78641911,139.935048181,18.3221814444,-15.4379945026,2.40963263705,-0.490074509274
Fastball,FoulBall,Undefined,89.1590856404,2158.85913421,158.864566158,18.2432698473,-7.06550045202,3.64253923404,0.361928475418
Fastball,InPlay,Error,89.9107781192,2203.80014103,150.479433196,21.9179707312,-12.4300340834,1.66902807539,-0.400304990854
Fastball,StrikeCalled,Undefined,89.0864469456,2135.55055131,143.220404765,17.2932713614,-12.9530844307,1.87811841632,0.512729460052
Fastball,StrikeSwinging,Undefined,90.5170450151,2252.4849077,145.134710351,20.234230488,-14.1204427122,2.45443632968,-0.301596733011
Fastball,BallCalled,Undefined,89.6204929291,2137.5829607,144.290391044,21.5535125832,-15.5177044911,3.8418990464,-2.63795696118
Fastball,StrikeSwinging,Undefined,88.7999433264,2094.34125554,158.542417549,22.3959847855,-8.81630595149,2.2167845633,0.577833145061
Curveball,StrikeCalled,Undefined,72.4523133492,2550.37445853,328.320059102,-15.7352908454,9.67776935505,2.84676816825,-0.0578826123289
Fastball,BallCalled,Undefined,90.4557420946,2214.41816663,142.305914394,20.3267470525,-15.732730969,1.85549201708,0.892812316759
Fastball,FoulBall,Undefined,90.1858205786,2293.17395206,156.337861871,17.3713119586,-7.62625279976,2.42415731872,-0.218120087368
Curveball,BallCalled,Undefined,73.5163508374,2710.25835647,321.213883829,-14.9352387014,11.9608765494,1.16530142314,1.12294634669
Curveball,BallCalled,Undefined,73.4709986901,2561.19857121,313.124215917,-14.6668521116,15.604163479,0.434878128404,1.1861615922
Fastball,FoulBall,Undefined,89.8580533789,2171.91775588,152.559927335,21.9954508431,-11.4381508485,2.88815103747,-0.166738987767
Fastball,InPlay,Out,90.8434032075,2223.14990062,148.239787826,23.8745606922,-14.8004931182,3.2381566618,-0.604202787558
Fastball,BallCalled,Undefined,90.7211731177,2308.56748503,147.385846756,17.7140645217,-11.3558236282,3.46150443311,0.262782829383
Fastball,StrikeCalled,Undefined,90.1939980773,2284.62592487,146.69249785,19.4694604517,-12.8146188477,3.01128321233,0.513294517332
Curveball,BallCalled,Undefined,73.3348531451,2737.43125406,318.733031864,-14.3920928406,12.5831372287,1.21329962715,1.08975151235
Curveball,StrikeCalled,Undefined,72.4634238293,2583.31221304,316.43321853,-15.015538267,14.2323808894,1.91089428142,-0.0323372305437
Fastball,StrikeCalled,Undefined,90.9653527763,2233.15243574,146.23889275,20.3816577432,-13.6461613524,2.34735036366,0.632488776959
Fastball,StrikeCalled,Undefined,89.8502674421,2153.05492319,149.107552441,19.9105053225,-11.9327715069,2.45743459178,-0.35672234386
Fastball,StrikeSwinging,Undefined,89.1250364132,2219.04090007,136.766582021,16.9836014889,-15.999268216800001,2.74585647893,-0.280270071701
Fastball,BallCalled,Undefined,88.7382764318,2150.03345601,152.511933409,15.6046089215,-8.13698500465,3.74923057968,-0.126164128186
Fastball,FoulBall,Undefined,90.544374772,2180.22297903,160.802322602,21.4822749465,-7.49140964798,2.65933811301,0.375046372104
Fastball,StrikeCalled,Undefined,90.784634029,2134.38226008,139.318120255,15.3814993365,-13.2500139708,2.78524745986,0.939444611872
Fastball,StrikeSwinging,Undefined,91.0407479382,2207.80084753,167.464543372,21.5748367374,-4.80424914781,2.83459018663,0.146035686843
Fastball,StrikeCalled,Undefined,91.2043268133,2278.07435549,143.378280562,17.9490185325,-13.3644751877,1.78110241789,0.0328717318109
Curveball,InPlay,Out,75.4139970763,2822.86395886,316.42724184,-10.8538311301,10.2798898536,1.05435021608,0.69937049417
Fastball,BallCalled,Undefined,90.8903355415,2260.23800999,162.391141551,19.8828311202,-6.32093471418,4.09705449847,0.587250652031
Fastball,StrikeCalled,Undefined,89.3374132788,2145.48176497,142.019393748,11.7189535119,-9.17567030012,3.12736590754,-0.237264355989
Curveball,FoulBall,Undefined,74.438477181,2575.73710059,327.447267323,-10.3964667754,6.60428485086,2.0739813419,0.216695527344
Cutter,BallCalled,Undefined,80.6085985304,2136.76309944,251.992280226,0.677805087241,2.21060761784,4.88177366928,0.48359126295
Curveball,StrikeCalled,Undefined,74.8663366297,2468.55642799,324.820047135,-10.7477601262,7.54209302792,2.94387069098,-0.278483693661
Curveball,StrikeCalled,Undefined,72.1452837065,2519.86755313,327.513308573,-13.203067279,8.37305672493,1.78559059154,-0.580435373622
Fastball,StrikeCalled,Undefined,88.7509970674,2167.46078537,138.127417465,18.0610384081,-16.2206957172,1.98706469026,0.200012260912
Fastball,StrikeCalled,Undefined,90.5614679523,2270.50803308,156.484651915,20.4450833668,-8.91082571892,2.75446930707,0.932048240378
Fastball,StrikeCalled,Undefined,90.4933564033,2275.37406246,146.188852132,21.0010775086,-14.0872144044,2.09365187042,0.755688793037
Fastball,BallCalled,Undefined,90.1779834703,2168.96980122,142.904240539,18.0133768512,-13.646470155,0.940805220343,1.05653373307
Fastball,FoulBall,Undefined,90.2884455617,2233.26041647,156.522775686,19.0146807287,-8.27339351839,2.26037024668,0.166439623538
Fastball,StrikeSwinging,Undefined,90.8922349937,2271.49389502,161.197130137,20.7599749546,-7.07947684157,3.90016125629,0.230268571538
Fastball,FoulBall,Undefined,89.9554574815,2240.85908568,149.715342206,20.6304377502,-12.0674793212,2.5131895193,-0.532505658021
ChangeUp,StrikeCalled,Undefined,80.0134768443,1814.95717388,107.903544553,5.00667300017,-15.6280719404,1.80255317242,0.220062957094
Curveball,StrikeSwinging,Undefined,73.2859062329,2592.96559021,323.948288178,-12.421508585,9.00436093904,2.13651582275,0.781892786352
